model,storage,price
apple iphone 6 - 16gb - silver a1549 (cdma + gsm) mg542ll/a,$61.99
apple iphone 6 16gb space gray sprint unlocked a1586 cdma gsm box & accessories,$79.99
apple iphone 6 - 16gb - space gray (unlocked),$70.00
apple iphone 6 - 16gb -  (unlocked) a1586,$65.76
apple iphone 6 - 16gb - silver (unlocked) a1586 (cdma + gsm) works - 7/10,$71.20
apple iphone 6 - 16gb - space gray - includes ihome speaker,$50.00
apple iphone 6s 16gb silver (unlocked),$75.00
apple iphone 6 - 16gb - silver (unlocked) a1549 (cdma + gsm),$60.00
apple iphone 6 - 16gb - space gray (unlocked) a1549 (gsm),$84.99
apple iphone 6 - 16gb - gold a1549,$125.00
apple iphone 6 - 16gb - space gray (unlocked) a1549 (cdma + gsm),$69.99
apple iphone 6 - 16gb - silver unlocked,$40.00
good - apple iphone 6 16gb - space gray (at&t only - can't unlock) free shipping,$50.99
super clean apple iphone 6 - 16gb - space gray  (verizon) a1549,$63.00
"iphone 6 gold, 16gb, in original box, free shipping",$90.00
apple iphone 6 - 16gb - space gray (unlocked),$76.00
apple iphone 6 - 16gb - silver t-mobile,$49.95
apple iphone 6 - 16gb - silver fully unlocked!,$67.00
apple iphone 6 - 16gb - space gray (unlocked) a1549 (cdma + gsm),$69.99
apple iphone 6 - 16gb - gold (unlocked) a1549 (gsm),$79.00
apple iphone 6 16gb verizon network unlocked 4g lte wifi ios 12.5 excellent,$69.95
apple iphone 6 - 16gb - gold (unlocked) a1549 (cdma + gsm) works - 7/10,$64.95
apple iphone 6 - 16gb - silver (unlocked) a1549 (cdma + gsm),$69.99
apple iphone 6 - 16gb - silver (unlocked) a1549 (cdma   gsm),$69.99
apple iphone 6 unlocked gsm cdma space gray 16gb a1549 mg4n2ll/a charger & box,$79.99
apple iphone 6 - 16gb - silver (unlocked) a1549 (cdma + gsm),$72.00
apple iphone 6 - 16gb - space gray (unlocked) a1549 (cdma + gsm) works - 7/10,$63.71
apple iphone 6 - 16gb - space gray (unlocked) a1586 (cdma + gsm),$75.00
apple iphone 6 - 16gb - space gray (unlocked) a1549 (gsm),$59.99
mint jailbroken iphone 6 16gb factory unlocked gsm ios 8.3 fully untethered &box,$150.00
apple iphone 6 - 16gb - space gray (unlocked),$65.00
apple iphone 6 - 16gb - gold (unlocked) a1549 (cdma + gsm) works - 7/10,$69.95
apple iphone 6 - 16gb - space gray (unlocked) a1549 pristine!!,$72.00
apple iphone 6 - 16gb - silver (unlocked) a1549 (gsm),$60.00
apple iphone 6 16gb - space gray (unlocked) verizon pre-owned excellent conditon,$79.00
apple iphone 6 - 16gb - space gray - factory unlocked - a1549 - (cdma + gsm),$75.00
gray apple iphone 6 gsm unlocked 16gb model a1549                            l3j,$59.99
apple iphone 6 16gb silver (gsm unlocked) smartphone,$79.99
apple iphone 6 16gb unlocked,$60.00
apple iphone 6 16gb silver verizon unlocked good condition,$96.99
apple iphone 6 - 16gb- unlocked for any carrier,$83.99
apple iphone 6 - 16gb - silver (unlocked) a1549 (gsm),$65.00
apple iphone 6 silver 16gb unlocked a1549 excellent condition,$69.99
apple iphone 6 - 16gb - space gray (unlocked) a1549 (cdma + gsm) good cond,$84.95
apple iphone 6 - 16gb - silver (unlocked) a1549 (cdma + gsm),$60.00
i phone 6 unlocked 16 gb used - good condition,$75.00
"unlocked iphone 6 16gb verizon,at&t,tmobile,consumer cellular,metropcs,tracfone",$90.00
iphone 6 | silver | 16gb | excellent condition,$110.00
"apple iphone 6 - 16gb, space gray (unlocked),  a1549, fresh power, excellent",$60.00
apple iphone 6 - 16gb - space gray (unlocked) a1549 (cdma + gsm) - works great!,$60.00
apple iphone 6 - 16gb - silver (unlocked) a1549 (cdma + gsm),$61.00
apple iphone 6 16gb - unlocked - good condition - space grey,$93.51
apple iphone 6 silver 16gb unlocked a1549 excellent condition,$69.99
apple iphone 6 - 16gb - space gray - factory unlocked - a1549 - (cdma + gsm),$75.00
apple iphone 6 - 16gb - space gray (verizon/unlocked) (b8),$64.99
apple iphone 6 - 16gb - rose gold a1549 (at&t t-mobile gsm) unlocked,$70.00
apple iphone 6 silver 16gb unlocked a1549 excellent condition,$69.99
apple iphone 6 16gb silver space gray unlocked clean verizon att sprint,$75.00
apple iphone 6 16gb space gray verizon unlocked good condition backlight issue,$77.99
apple iphone 6 - 16gb - space gray (unlocked) a1549 (cdma + gsm),$50.00
apple iphone 6 - 16gb - silver (unlocked) a1586 (cdma + gsm),$60.00
apple iphone 6 - 16gb - space gray (unlocked) - swollen battry,$65.00
apple iphone 6 - 16gb - space gray (at&t) unlocked  - mg4n2ll/a  used,$59.00
apple iphone 6 silver 16gb unlocked a1549 excellent condition,$69.99
iphone 6 gold unlocked extra 16 gb 16gb mg492ch/a a1586 used gsm/cdma/lte,$85.99
apple iphone 6 - 16gb - gold a1549,$125.00
apple iphone 6 - 16gb - silver (unlocked) a1549 (cdma + gsm),$50.00
apple iphone 6 - 16gb - space gray (unlocked) a1549 (cdma + gsm) works - 7/10,$67.45
apple iphone 6 - 16gb - silver (unlocked) a1549 (cdma + gsm),$50.00
apple iphone 6 - 16gb - silver (unlocked) a1549 (cdma + gsm),$50.00
verizon unlocked apple iphone 6 - 16gb,$83.99
apple iphone 6 - 16gb - space gray (unlocked),$100.00
apple iphone 6 - 16gb - space gray (at&t) unlocked  - mg4n2ll/a  used,$59.00
apple iphone 6 - 16gb - gold (unlocked) a1549 (holiday deals!!),$83.99
apple iphone 6 - 16gb - silver (unlocked) a1586 (cdma + gsm),$70.00
apple iphone 6 - 16gb - space gray (unlocked) a1586 (cdma + gsm),$74.99
verizon unlocked apple iphone 6 - 16gb,$83.99
apple iphone 6 - 16gb - space gray a1549 (at&t t-mobile gsm) unlocked,$55.00
new listinggood - apple iphone 6 16gb space gray (unlocked - verizon) smartphone free ship,$54.99
apple iphone 6 16gb   gold at&t -mint 10/10!,$85.95
apple iphone 6 - 16gb - space gray (unlocked),$70.00
apple iphone 6 - 16gb - space gray (unlocked) a1549 (gsm),$79.99
apple iphone 6 - 16gb - space gray (unlocked) a1549 (gsm) - unlocked,$62.00
"apple iphone 6 16gb, 64gb, 128gb unlocked at&t silver smartphone",$114.00
apple iphone 6 16gb unlocked perfect condition,$99.00
apple iphone 6 16gb gold | bend | as is | no warranty,$75.00
apple iphone 6 - 16gb - space gray (t-mobile) a1549 (gsm) mg542ll/a,$59.99
apple iphone 6 - 16gb - silver/gray (unlocked) a1549 (gsm) (ca),$49.95
apple iphone 6 - 16gb - silver (unlocked) a1549 (gsm),$60.00
unlocked apple iphone 6 16gb space gray worldwide gsm t-mobile at&t verizon,$89.00
apple iphone 6 - 16gb - silver (unlocked) a1549 (cdma + gsm),$62.00
apple iphone 6 - 16gb - silver (unlocked) a1586 (gsm),$47.15
apple iphone 6 16gb - unlocked - good condition - space grey,$93.51
apple iphone 6 - 16 gb model a1549,$49.95
apple iphone 6 - 16gb space gray (mg5w2ll/a) *unlocked*       mv2129,$76.00
*excellent* apple iphone 6 - 16gb - space gray (unlocked) a1586 (cdma + gsm),$89.00
apple iphone 6 - 16gb - gold (unlocked) a,$150.00
apple iphone 6 - 16gb - silver (unlocked) a1549 (cdma + gsm),$55.00
apple iphone 6 16gb (unlocked) a1586 (cdma + gsm) verizon/at&t/t-mobile/sprint,$79.00
apple iphone 6 16gb gsm unlocked ios smartphone used,$75.99
apple iphone 6 - model a1549 - 16gb - gray - unlocked - used,$45.00
2 x iphone 6 ~ rose gold is unlocked and reset ~ black won't turn on (parts),$74.99
iphone 6 rose gold 16gb unlocked,$100.00
apple iphone 6 - 16gb  a1586 ng472ll/a  (space gray)    mv1793,$74.00
apple iphone 6 - 16gb space gray (unlocked) a1586 (cdma-gsm) smartphone clean,$79.99
apple iphone 6 - 16gb - gray (unlocked) a1549 (cdma + gsm),$69.99
unlocked apple iphone 6 16gb cdma/gsm - silver - very good condition,$69.99
apple iphone 6 - 16gb - silver (unlocked) a1549 (cdma + gsm),$75.00
apple iphone 6 - 16gb - space gray (unlocked) a1586.  excellent condition,$69.99
iphone 6 unlocked,$69.69
apple iphone 6s - 16gb - silver,$60.00
apple iphone 6 16gb 64gb 128gb factory unlocked at&t verizon t-mobile,$84.00
apple iphone 6 - 16gb - space gray  a1549 (cdma + gsm unlocked),$74.95
apple iphone 6 - 16gb - white silver (unlocked) a1549,$66.80
apple iphone 6 16gb all colors factory unlocked cdma gsm smartphone 4g lte,$106.82
apple iphone 6 - 16gb - space gray  a1549 (cdma + gsm unlocked),$74.95
apple iphone 6 16gb - space gray  a1549 (cdma + gsm unlocked),$69.95
apple iphone 6 - 16gb - silver (unlocked) a1549 (cdma + gsm),$58.50
apple iphone 6 - 16gb - gold (unlocked) a1586 (cdma + gsm) works - 7/10,$71.95
apple iphone 6 16gb factory unlocked smartphone used,$83.59
"gray apple iphone 6 gsm unlocked, 16gb model a1549                           r0p",$49.99
apple iphone 6 - 16gb - space gray (unlocked) a1549.  excellent condition,$65.00
apple iphone 6 - 16gb - space gray (unlocked) a1549 (gsm),$79.99
apple iphone 6 rose gold (unlocked) a1549,$50.00
apple iphone 6 - 16gb - gold a1549 (gsm) - unlocked,$75.00
apple iphone 6 16gb gold (unlocked) a1549 (cdma + gsm) smartphone,$64.99
apple iphone 6 - 16gb - space gray (verizon/unlocked) a1549 bc (b7),$49.99
apple iphone 6 - 16gb - silver (unlocked) a1549 (gsm),$65.00
apple iphone 6 -  gold,$30.00
apple iphone 6 good condition 3 16gb 4g unlocked aussie seller,$362.73
apple iphone 6 - 16gb - gold - unlocked - a1549 (cdma + gsm),$79.95
apple iphone 6 - 16gb - gold (unlocked) a1549 (cdma + gsm),$30.00
apple iphone 6 - 16gb - gold (unlocked) gsm+cdma - mg482ll/a a1586,$65.00
apple iphone 6 - 16gb - silver/grey - unlocked gsm - a1549 - clean esn,$60.00
apple iphone 6 - 16gb - space gray (unlocked) a1549 (cdma + gsm),$65.00
apple iphone 6 16gb space gray verizon good condition,$75.00
apple iphone 6 - 16gb gray (unlocked) a1549 (gsm) clean esn smartphone #68,$59.95
apple iphone 6 - 16gb - gold (unlocked) a1549 (gsm),$44.00
apple iphone 6 - 16gb - silver (at&t) gsm+cdma - mg4p2ll/a a1549,$55.00
apple iphone 6 - 16gb - silver (unlocked) a1549 (cdma   gsm),$74.00
apple iphone 6 - 16gb - gold unlocked a1549,$59.00
apple iphone 6 - 16gb - space gray (unlocked) a1549 (gsm),$69.97
apple iphone 6 - 16gb - space gray (unlocked) a1586 (cdma + gsm),$69.00
"unlocked iphone 6 16gb verizon, at&t,tmobile,consumer cellular,metropcs,tracfone",$79.95
apple iphone 6 - 16gb - gold (unlocked) a1549 (cdma + gsm),$63.00
apple iphone 6 - 16gb - space gray (unlocked),$70.00
apple iphone 6 - 16gb - space gray (unlocked) a1549 (gsm),$70.00
apple iphone 6 - 16gb - space gray (unlocked),$70.00
apple iphone 6 - 16gb - silver (unlocked) a1586 (cdma + gsm),$60.00
apple iphone 6 - 16gb - space gray (verizon/unlocked) a1549 bc (b16),$49.99
apple iphone 6 - 16gb - space gray (verizon/unlocked) a1586 bc (b13),$49.99
apple iphone 6 - 16gb siler (unlocked) a1586 (cdma-gsm) smartphone clean,$79.99
apple iphone 6 - 16gb - silver a1549 (cdma + gsm) mg542ll/a,$61.99
apple iphone 6 16gb space gray sprint unlocked a1586 cdma gsm box & accessories,$79.99
apple iphone 6 - 16gb - space gray (unlocked),$70.00
apple iphone 6 - 16gb -  (unlocked) a1586,$65.76
apple iphone 6 - 16gb - silver (unlocked) a1586 (cdma + gsm) works - 7/10,$71.20
apple iphone 6 - 16gb - space gray - includes ihome speaker,$50.00
