model,storage,carrier,condition,price
Apple iPhone 6 Plus,128gb,unlocked,good,9.0
Apple iPhone 6 Plus,128gb,unlocked,poor,5.4
Apple iPhone 6 Plus,128gb,unlocked,faulty,5
Apple iPhone 6 Plus,128gb,verizon,good,9.0
Apple iPhone 6 Plus,128gb,verizon,poor,5.4
Apple iPhone 6 Plus,128gb,verizon,faulty,5
Apple iPhone 6 Plus,128gb,AT&T,good,7.62
Apple iPhone 6 Plus,128gb,AT&T,poor,5
Apple iPhone 6 Plus,128gb,AT&T,faulty,5
Apple iPhone 6 Plus,128gb,T-Mobile,good,6.96
Apple iPhone 6 Plus,128gb,T-Mobile,poor,5
Apple iPhone 6 Plus,128gb,T-Mobile,faulty,5
Apple iPhone 6 Plus,128gb,sprint,good,6.42
Apple iPhone 6 Plus,128gb,sprint,poor,5
Apple iPhone 6 Plus,128gb,sprint,faulty,5
Apple iPhone 6 Plus,128gb,other,good,5
Apple iPhone 6 Plus,128gb,other,poor,5
Apple iPhone 6 Plus,128gb,other,faulty,5
Apple iPhone 6s,16gb,unlocked,good,39.5
Apple iPhone 6s,16gb,unlocked,poor,35.55
Apple iPhone 6s,16gb,unlocked,faulty,11.85
Apple iPhone 6s,16gb,verizon,good,39.5
Apple iPhone 6s,16gb,verizon,poor,35.55
Apple iPhone 6s,16gb,verizon,faulty,11.85
Apple iPhone 6s,16gb,AT&T,good,33.46
Apple iPhone 6s,16gb,AT&T,poor,30.11
Apple iPhone 6s,16gb,AT&T,faulty,10.04
Apple iPhone 6s,16gb,T-Mobile,good,30.53
Apple iPhone 6s,16gb,T-Mobile,poor,27.48
Apple iPhone 6s,16gb,T-Mobile,faulty,9.16
Apple iPhone 6s,16gb,sprint,good,28.16
Apple iPhone 6s,16gb,sprint,poor,25.35
Apple iPhone 6s,16gb,sprint,faulty,8.45
Apple iPhone 6s,16gb,other,good,17.38
Apple iPhone 6s,16gb,other,poor,15.64
Apple iPhone 6s,16gb,other,faulty,5.21
Apple iPhone 6s,32gb,unlocked,good,40.0
Apple iPhone 6s,32gb,unlocked,poor,36.0
Apple iPhone 6s,32gb,unlocked,faulty,12.0
Apple iPhone 6s,32gb,verizon,good,40.0
Apple iPhone 6s,32gb,verizon,poor,36.0
Apple iPhone 6s,32gb,verizon,faulty,12.0
Apple iPhone 6s,32gb,AT&T,good,33.88
Apple iPhone 6s,32gb,AT&T,poor,30.49
Apple iPhone 6s,32gb,AT&T,faulty,10.16
Apple iPhone 6s,32gb,T-Mobile,good,30.92
Apple iPhone 6s,32gb,T-Mobile,poor,27.83
Apple iPhone 6s,32gb,T-Mobile,faulty,9.28
Apple iPhone 6s,32gb,sprint,good,28.52
Apple iPhone 6s,32gb,sprint,poor,25.67
Apple iPhone 6s,32gb,sprint,faulty,8.56
Apple iPhone 6s,32gb,other,good,17.6
Apple iPhone 6s,32gb,other,poor,15.84
Apple iPhone 6s,32gb,other,faulty,5.28
Apple iPhone 6s,64gb,unlocked,good,47.0
Apple iPhone 6s,64gb,unlocked,poor,42.3
Apple iPhone 6s,64gb,unlocked,faulty,14.1
Apple iPhone 6s,64gb,verizon,good,47.0
Apple iPhone 6s,64gb,verizon,poor,42.3
Apple iPhone 6s,64gb,verizon,faulty,14.1
Apple iPhone 6s,64gb,AT&T,good,39.81
Apple iPhone 6s,64gb,AT&T,poor,35.83
Apple iPhone 6s,64gb,AT&T,faulty,11.94
Apple iPhone 6s,64gb,T-Mobile,good,36.33
Apple iPhone 6s,64gb,T-Mobile,poor,32.7
Apple iPhone 6s,64gb,T-Mobile,faulty,10.9
Apple iPhone 6s,64gb,sprint,good,33.51
Apple iPhone 6s,64gb,sprint,poor,30.16
Apple iPhone 6s,64gb,sprint,faulty,10.05
Apple iPhone 6s,64gb,other,good,20.68
Apple iPhone 6s,64gb,other,poor,18.61
Apple iPhone 6s,64gb,other,faulty,6.2
Apple iPhone 6s,128gb,unlocked,good,54.0
Apple iPhone 6s,128gb,unlocked,poor,48.6
Apple iPhone 6s,128gb,unlocked,faulty,16.2
Apple iPhone 6s,128gb,verizon,good,54.0
Apple iPhone 6s,128gb,verizon,poor,48.6
Apple iPhone 6s,128gb,verizon,faulty,16.2
Apple iPhone 6s,128gb,AT&T,good,45.74
Apple iPhone 6s,128gb,AT&T,poor,41.16
Apple iPhone 6s,128gb,AT&T,faulty,13.72
Apple iPhone 6s,128gb,T-Mobile,good,41.74
Apple iPhone 6s,128gb,T-Mobile,poor,37.57
Apple iPhone 6s,128gb,T-Mobile,faulty,12.52
Apple iPhone 6s,128gb,sprint,good,38.5
Apple iPhone 6s,128gb,sprint,poor,34.65
Apple iPhone 6s,128gb,sprint,faulty,11.55
Apple iPhone 6s,128gb,other,good,23.76
Apple iPhone 6s,128gb,other,poor,21.38
Apple iPhone 6s,128gb,other,faulty,7.13
Apple iPhone 6s Plus,16gb,unlocked,good,76.0
Apple iPhone 6s Plus,16gb,unlocked,poor,68.4
Apple iPhone 6s Plus,16gb,unlocked,faulty,22.8
Apple iPhone 6s Plus,16gb,verizon,good,76.0
Apple iPhone 6s Plus,16gb,verizon,poor,68.4
Apple iPhone 6s Plus,16gb,verizon,faulty,22.8
Apple iPhone 6s Plus,16gb,AT&T,good,64.37
Apple iPhone 6s Plus,16gb,AT&T,poor,57.93
Apple iPhone 6s Plus,16gb,AT&T,faulty,19.31
Apple iPhone 6s Plus,16gb,T-Mobile,good,58.75
Apple iPhone 6s Plus,16gb,T-Mobile,poor,52.87
