model,storage,carrier,condition,price
Apple iPhone 6 Plus,64,Sprint,Broken,62.2
Apple iPhone 6 Plus,128,Unlocked,Like New,159.65
Apple iPhone 6 Plus,128,Unlocked,Good,145.57
Apple iPhone 6 Plus,128,Unlocked,Fair,144.27
Apple iPhone 6 Plus,128,Unlocked,Broken,86.44
Apple iPhone 6 Plus,128,Verizon,Like New,159.65
Apple iPhone 6 Plus,128,Verizon,Good,145.57
Apple iPhone 6 Plus,128,Verizon,Fair,144.27
Apple iPhone 6 Plus,128,Verizon,Broken,86.44
Apple iPhone 6 Plus,128,AT&T,Like New,171.24
Apple iPhone 6 Plus,128,AT&T,Good,138.62
Apple iPhone 6 Plus,128,AT&T,Fair,137.5
Apple iPhone 6 Plus,128,AT&T,Broken,87.33
Apple iPhone 6 Plus,128,T-Mobile,Like New,164.97
Apple iPhone 6 Plus,128,T-Mobile,Good,143.91
Apple iPhone 6 Plus,128,T-Mobile,Fair,144.86
Apple iPhone 6 Plus,128,T-Mobile,Broken,86.08
Apple iPhone 6 Plus,128,Sprint,Like New,**NOT ENOUGH RESULTS**
Apple iPhone 6 Plus,128,Sprint,Good,113.8
Apple iPhone 6 Plus,128,Sprint,Fair,113.8
Apple iPhone 6 Plus,128,Sprint,Broken,89.94
Apple iPhone 6s,16,Unlocked,Like New,92.84
Apple iPhone 6s,16,Unlocked,Good,82.67
Apple iPhone 6s,16,Unlocked,Fair,82.14
Apple iPhone 6s,16,Unlocked,Broken,45.54
Apple iPhone 6s,16,Verizon,Like New,92.84
Apple iPhone 6s,16,Verizon,Good,82.54
Apple iPhone 6s,16,Verizon,Fair,82.39
Apple iPhone 6s,16,Verizon,Broken,45.92
Apple iPhone 6s,16,AT&T,Like New,84.6
Apple iPhone 6s,16,AT&T,Good,81.92
Apple iPhone 6s,16,AT&T,Fair,79.85
Apple iPhone 6s,16,AT&T,Broken,45.11
Apple iPhone 6s,16,T-Mobile,Like New,86.07
Apple iPhone 6s,16,T-Mobile,Good,83.01
Apple iPhone 6s,16,T-Mobile,Fair,82.29
Apple iPhone 6s,16,T-Mobile,Broken,42.96
Apple iPhone 6s,16,Sprint,Like New,88.51
Apple iPhone 6s,16,Sprint,Good,82.21
Apple iPhone 6s,16,Sprint,Fair,80.31
Apple iPhone 6s,16,Sprint,Broken,43.72
Apple iPhone 6s,32,Unlocked,Like New,97.35
Apple iPhone 6s,32,Unlocked,Good,86.49
Apple iPhone 6s,32,Unlocked,Fair,85.92
Apple iPhone 6s,32,Unlocked,Broken,52.35
Apple iPhone 6s,32,Verizon,Like New,97.35
Apple iPhone 6s,32,Verizon,Good,86.55
Apple iPhone 6s,32,Verizon,Fair,85.81
Apple iPhone 6s,32,Verizon,Broken,51.83
Apple iPhone 6s,32,AT&T,Like New,94.01
Apple iPhone 6s,32,AT&T,Good,84.21
Apple iPhone 6s,32,AT&T,Fair,83.3
Apple iPhone 6s,32,AT&T,Broken,51.67
Apple iPhone 6s,32,T-Mobile,Like New,95.57
Apple iPhone 6s,32,T-Mobile,Good,87.84
Apple iPhone 6s,32,T-Mobile,Fair,87.12
Apple iPhone 6s,32,T-Mobile,Broken,52.19
Apple iPhone 6s,32,Sprint,Like New,95.83
Apple iPhone 6s,32,Sprint,Good,87.36
Apple iPhone 6s,32,Sprint,Fair,87.02
Apple iPhone 6s,32,Sprint,Broken,52.65
Apple iPhone 6s,64,Unlocked,Like New,101.33
Apple iPhone 6s,64,Unlocked,Good,98.34
Apple iPhone 6s,64,Unlocked,Fair,97.46
Apple iPhone 6s,64,Unlocked,Broken,61.84
Apple iPhone 6s,64,Verizon,Like New,101.33
Apple iPhone 6s,64,Verizon,Good,98.24
Apple iPhone 6s,64,Verizon,Fair,97.52
Apple iPhone 6s,64,Verizon,Broken,61.84
Apple iPhone 6s,64,AT&T,Like New,98.95
Apple iPhone 6s,64,AT&T,Good,96.43
Apple iPhone 6s,64,AT&T,Fair,95.54
Apple iPhone 6s,64,AT&T,Broken,59.84
Apple iPhone 6s,64,T-Mobile,Like New,99.35
Apple iPhone 6s,64,T-Mobile,Good,96.53
Apple iPhone 6s,64,T-Mobile,Fair,95.7
Apple iPhone 6s,64,T-Mobile,Broken,60.91
Apple iPhone 6s,64,Sprint,Like New,100.23
Apple iPhone 6s,64,Sprint,Good,97.1
Apple iPhone 6s,64,Sprint,Fair,96.0
Apple iPhone 6s,64,Sprint,Broken,62.78
Apple iPhone 6s,128,Unlocked,Like New,118.19
Apple iPhone 6s,128,Unlocked,Good,113.62
Apple iPhone 6s,128,Unlocked,Fair,111.14
Apple iPhone 6s,128,Unlocked,Broken,63.96
Apple iPhone 6s,128,Verizon,Like New,118.19
Apple iPhone 6s,128,Verizon,Good,113.62
Apple iPhone 6s,128,Verizon,Fair,111.05
Apple iPhone 6s,128,Verizon,Broken,63.56
Apple iPhone 6s,128,AT&T,Like New,113.4
Apple iPhone 6s,128,AT&T,Good,110.53
Apple iPhone 6s,128,AT&T,Fair,109.18
Apple iPhone 6s,128,AT&T,Broken,62.2
Apple iPhone 6s,128,T-Mobile,Like New,113.4
Apple iPhone 6s,128,T-Mobile,Good,110.68
Apple iPhone 6s,128,T-Mobile,Fair,110.91
Apple iPhone 6s,128,T-Mobile,Broken,59.39
Apple iPhone 6s,128,Sprint,Like New,119.5
Apple iPhone 6s,128,Sprint,Good,111.49
Apple iPhone 6s,128,Sprint,Fair,111.72
Apple iPhone 6s,128,Sprint,Broken,61.4
Apple iPhone 6s Plus,16,Unlocked,Like New,131.31
Apple iPhone 6s Plus,16,Unlocked,Good,121.61
Apple iPhone 6s Plus,16,Unlocked,Fair,120.52
Apple iPhone 6s Plus,16,Unlocked,Broken,70.46
Apple iPhone 6s Plus,16,Verizon,Like New,131.31
Apple iPhone 6s Plus,16,Verizon,Good,121.61
Apple iPhone 6s Plus,16,Verizon,Fair,120.52
Apple iPhone 6s Plus,16,Verizon,Broken,70.46
Apple iPhone 6s Plus,16,AT&T,Like New,137.38
Apple iPhone 6s Plus,16,AT&T,Good,118.5
Apple iPhone 6s Plus,16,AT&T,Fair,117.27
Apple iPhone 6s Plus,16,AT&T,Broken,69.38
Apple iPhone 6s Plus,16,T-Mobile,Like New,130.88
Apple iPhone 6s Plus,16,T-Mobile,Good,119.06
Apple iPhone 6s Plus,16,T-Mobile,Fair,118.12
Apple iPhone 6s Plus,16,T-Mobile,Broken,69.14
Apple iPhone 6s Plus,16,Sprint,Like New,124.44
Apple iPhone 6s Plus,16,Sprint,Good,118.34
Apple iPhone 6s Plus,16,Sprint,Fair,117.62
Apple iPhone 6s Plus,16,Sprint,Broken,68.67
Apple iPhone 6s Plus,32,Unlocked,Like New,144.69
Apple iPhone 6s Plus,32,Unlocked,Good,134.27
Apple iPhone 6s Plus,32,Unlocked,Fair,132.24
Apple iPhone 6s Plus,32,Unlocked,Broken,76.94
Apple iPhone 6s Plus,32,Verizon,Like New,144.69
Apple iPhone 6s Plus,32,Verizon,Good,134.27
Apple iPhone 6s Plus,32,Verizon,Fair,132.24
Apple iPhone 6s Plus,32,Verizon,Broken,76.43
Apple iPhone 6s Plus,32,AT&T,Like New,141.61
Apple iPhone 6s Plus,32,AT&T,Good,128.72
Apple iPhone 6s Plus,32,AT&T,Fair,127.97
Apple iPhone 6s Plus,32,AT&T,Broken,74.09
Apple iPhone 6s Plus,32,T-Mobile,Like New,141.61
Apple iPhone 6s Plus,32,T-Mobile,Good,130.76
Apple iPhone 6s Plus,32,T-Mobile,Fair,129.97
Apple iPhone 6s Plus,32,T-Mobile,Broken,77.62
Apple iPhone 6s Plus,32,Sprint,Like New,141.61
Apple iPhone 6s Plus,32,Sprint,Good,131.06
Apple iPhone 6s Plus,32,Sprint,Fair,130.46
Apple iPhone 6s Plus,32,Sprint,Broken,75.28
Apple iPhone 6s Plus,64,Unlocked,Like New,151.05
Apple iPhone 6s Plus,64,Unlocked,Good,141.19
Apple iPhone 6s Plus,64,Unlocked,Fair,139.76
Apple iPhone 6s Plus,64,Unlocked,Broken,94.92
Apple iPhone 6s Plus,64,Verizon,Like New,151.05
Apple iPhone 6s Plus,64,Verizon,Good,140.93
Apple iPhone 6s Plus,64,Verizon,Fair,140.06
Apple iPhone 6s Plus,64,Verizon,Broken,94.92
Apple iPhone 6s Plus,64,AT&T,Like New,145.52
Apple iPhone 6s Plus,64,AT&T,Good,138.25
Apple iPhone 6s Plus,64,AT&T,Fair,137.46
Apple iPhone 6s Plus,64,AT&T,Broken,93.45
Apple iPhone 6s Plus,64,T-Mobile,Like New,146.83
Apple iPhone 6s Plus,64,T-Mobile,Good,139.54
Apple iPhone 6s Plus,64,T-Mobile,Fair,138.48
Apple iPhone 6s Plus,64,T-Mobile,Broken,94.27
Apple iPhone 6s Plus,64,Sprint,Like New,144.03
Apple iPhone 6s Plus,64,Sprint,Good,139.51
Apple iPhone 6s Plus,64,Sprint,Fair,138.52
Apple iPhone 6s Plus,64,Sprint,Broken,98.11
Apple iPhone 6s Plus,128,Unlocked,Like New,175.88
Apple iPhone 6s Plus,128,Unlocked,Good,159.22
Apple iPhone 6s Plus,128,Unlocked,Fair,157.7
Apple iPhone 6s Plus,128,Unlocked,Broken,112.28
Apple iPhone 6s Plus,128,Verizon,Like New,175.88
Apple iPhone 6s Plus,128,Verizon,Good,159.22
Apple iPhone 6s Plus,128,Verizon,Fair,157.65
Apple iPhone 6s Plus,128,Verizon,Broken,112.28
Apple iPhone 6s Plus,128,AT&T,Like New,168.76
Apple iPhone 6s Plus,128,AT&T,Good,153.51
Apple iPhone 6s Plus,128,AT&T,Fair,152.62
Apple iPhone 6s Plus,128,AT&T,Broken,112.48
Apple iPhone 6s Plus,128,T-Mobile,Like New,162.36
Apple iPhone 6s Plus,128,T-Mobile,Good,161.46
Apple iPhone 6s Plus,128,T-Mobile,Fair,159.25
Apple iPhone 6s Plus,128,T-Mobile,Broken,118.94
Apple iPhone 6s Plus,128,Sprint,Like New,162.36
Apple iPhone 6s Plus,128,Sprint,Good,160.28
Apple iPhone 6s Plus,128,Sprint,Fair,158.1
Apple iPhone 6s Plus,128,Sprint,Broken,117.83
Apple iPhone 7,32,Unlocked,Like New,137.28
Apple iPhone 7,32,Unlocked,Good,120.21
Apple iPhone 7,32,Unlocked,Fair,117.11
Apple iPhone 7,32,Unlocked,Broken,72.01
Apple iPhone 7,32,Verizon,Like New,137.28
Apple iPhone 7,32,Verizon,Good,120.04
Apple iPhone 7,32,Verizon,Fair,117.58
Apple iPhone 7,32,Verizon,Broken,71.89
Apple iPhone 7,32,AT&T,Like New,131.86
Apple iPhone 7,32,AT&T,Good,114.77
Apple iPhone 7,32,AT&T,Fair,111.8
Apple iPhone 7,32,AT&T,Broken,71.76
Apple iPhone 7,32,T-Mobile,Like New,133.59
Apple iPhone 7,32,T-Mobile,Good,115.25
Apple iPhone 7,32,T-Mobile,Fair,113.54
Apple iPhone 7,32,T-Mobile,Broken,70.59
Apple iPhone 7,32,Sprint,Like New,133.51
Apple iPhone 7,32,Sprint,Good,117.33
Apple iPhone 7,32,Sprint,Fair,115.42
Apple iPhone 7,32,Sprint,Broken,67.9
Apple iPhone 7,128,Unlocked,Like New,150.51
Apple iPhone 7,128,Unlocked,Good,135.84
Apple iPhone 7,128,Unlocked,Fair,134.53
Apple iPhone 7,128,Unlocked,Broken,88.77
Apple iPhone 7,128,Verizon,Like New,150.51
Apple iPhone 7,128,Verizon,Good,135.88
Apple iPhone 7,128,Verizon,Fair,134.58
Apple iPhone 7,128,Verizon,Broken,86.37
Apple iPhone 7,128,AT&T,Like New,145.4
Apple iPhone 7,128,AT&T,Good,133.06
Apple iPhone 7,128,AT&T,Fair,131.82
Apple iPhone 7,128,AT&T,Broken,86.86
Apple iPhone 7,128,T-Mobile,Like New,157.68
Apple iPhone 7,128,T-Mobile,Good,135.86
Apple iPhone 7,128,T-Mobile,Fair,134.69
Apple iPhone 7,128,T-Mobile,Broken,81.27
Apple iPhone 7,128,Sprint,Like New,148.75
Apple iPhone 7,128,Sprint,Good,138.39
Apple iPhone 7,128,Sprint,Fair,136.34
Apple iPhone 7,128,Sprint,Broken,81.8
Apple iPhone 7,256,Unlocked,Like New,182.5
Apple iPhone 7,256,Unlocked,Good,156.8
Apple iPhone 7,256,Unlocked,Fair,153.96
Apple iPhone 7,256,Unlocked,Broken,101.43
Apple iPhone 7,256,Verizon,Like New,182.5
Apple iPhone 7,256,Verizon,Good,156.8
Apple iPhone 7,256,Verizon,Fair,153.96
Apple iPhone 7,256,Verizon,Broken,101.43
Apple iPhone 7,256,AT&T,Like New,175.0
Apple iPhone 7,256,AT&T,Good,149.84
Apple iPhone 7,256,AT&T,Fair,147.96
Apple iPhone 7,256,AT&T,Broken,100.07
Apple iPhone 7,256,T-Mobile,Like New,182.5
Apple iPhone 7,256,T-Mobile,Good,150.64
Apple iPhone 7,256,T-Mobile,Fair,150.24
Apple iPhone 7,256,T-Mobile,Broken,86.23
Apple iPhone 7,256,Sprint,Like New,132.5
Apple iPhone 7,256,Sprint,Good,148.42
Apple iPhone 7,256,Sprint,Fair,148.45
Apple iPhone 7,256,Sprint,Broken,89.84
Apple iPhone 7 Plus,32,Unlocked,Like New,207.78
Apple iPhone 7 Plus,32,Unlocked,Good,193.66
Apple iPhone 7 Plus,32,Unlocked,Fair,193.1
Apple iPhone 7 Plus,32,Unlocked,Broken,117.07
Apple iPhone 7 Plus,32,Verizon,Like New,207.78
Apple iPhone 7 Plus,32,Verizon,Good,193.66
Apple iPhone 7 Plus,32,Verizon,Fair,193.1
Apple iPhone 7 Plus,32,Verizon,Broken,117.31
Apple iPhone 7 Plus,32,AT&T,Like New,204.24
Apple iPhone 7 Plus,32,AT&T,Good,189.03
Apple iPhone 7 Plus,32,AT&T,Fair,187.7
Apple iPhone 7 Plus,32,AT&T,Broken,111.76
Apple iPhone 7 Plus,32,T-Mobile,Like New,205.92
Apple iPhone 7 Plus,32,T-Mobile,Good,189.9
Apple iPhone 7 Plus,32,T-Mobile,Fair,189.66
